nappi_code,name,schedule,dosage_form,pack_size,sep,dispensing_fee,is_generic,regno
704780001,Cipla-loratadine,S2,tablet,10.0,R 53.41,R 30.36,Generic,A38/5.7.1/0491
704780002,Cipla-loratadine,S2,tablet,30.0,R 123.92,R 54.76,Generic,A38/5.7.1/0491
704781001,Ibugesic,S2,suspension,100.0,R 81.96,R 40.24,Generic,37/3.1/0467
704782001,Roxxibid,S4,tablet,10.0,R 184.60,R 75.75,Generic,37/20.1.1/0367
704982001,Cefasyn-250,S4,tablet,10.0,R 211.74,R 83.46,Generic,38/20.1.1/0133
704983001,Cefasyn-500,S4,tablet,10.0,R 342.54,R 119.44,Generic,38/20.1.1/0127
705067001,Osteobon,S3,tablet,4.0,R 417.41,R 140.04,Generic,A39/3.2/0396
705252001,Depramil,S5,tablet,30.0,R 234.98,R 89.85,Generic,A38/1.2/0490
705281001,Simcard,S4,tablet,30.0,R 199.60,R 80.94,Generic,36/7.5/0215 
705282001,Simcard,S4,tablet,30.0,R 246.13,R 92.92,Generic,36/7.5/0216 
705296001,Melflam,S3,tablet,30.0,R 97.49,R 45.61,Generic,35/3.1/0056
705420001,Serdep,S5,tablet,30.0,R 166.33,R 69.43,Generic,38/1.2/0020
705459001,Carloc,S3,tablet,30.0,R 127.59,R 56.03,Generic,37/7.1.3/0613
705968001,Triomune 40,S4,tablet,60.0,R 533.27,R 162.91,Generic,A38/20.2.8/0409
706399001,Venlor XR,S5,Src,30.0,R 308.23,R 110.00,Generic,A40/1.2/0032
706402001,Venlor XR,S5,Src,30.0,R 394.01,R 133.60,Generic,A40/1.2/0033
706404001,Venlor XR,S5,Src,30.0,R 618.74,R 175.49,Generic,A40/1.2/0034
706566001,Simcard 80,S4,tablet,30.0,R 322.80,R 114.01,Generic,A38/7.5/0373
707199001,Fexo,S2,tablet,10.0,R 96.59,R 45.30,Generic,A38/5.7.1/0414
707200001,Fexo,S2,tablet,30.0,R 306.74,R 109.59,Generic,A38/5.7.1/0415
707300001,Cipla-duovir,S4,tablet,60.0,R 296.41,R 106.75,Generic,A40/20.2.8/0244
707342001,Cipla-loperamide,S2,tablet,8.0,R 37.65,R 24.91,Generic,A39/11.9/0407
707970001,Triomune 30,S4,tablet,60.0,R 625.78,R 176.52,Generic,A40/20.2.8/0460
708005001,Diaglim,S3,tablet,30.0,R 156.84,R 66.15,Generic,A40/21.2/0006
708006001,Diaglim,S3,tablet,30.0,R 278.75,R 101.89,Generic,A40/21.2/0007
708007001,Diaglim,S3,tablet,30.0,R 471.24,R 153.79,Generic,A40/21.2/0008
708150001,Ciplavasc,S3,tablet,30.0,R 116.33,R 52.13,Generic,A39/7.1/0117
708152001,Ciplavasc,S3,tablet,30.0,R 162.66,R 68.16,Generic,A39/7.1/0120
708307001,Cipla-simvastatin,S4,tablet,30.0,R 69.54,R 35.94,Generic,A40/7.5/0397
708308001,Cipla-simvastatin,S4,tablet,30.0,R 71.38,R 36.58,Generic,A40/7.5/0398
709360001,Piramax 25,S3,tablet,60.0,R 262.68,R 97.47,Generic,A40/2.5/0471
709361001,Piramax 100,S3,tablet,60.0,R 763.51,R 196.79,Generic,A40/2.5/0472
709362001,Piramax 200,S3,tablet,60.0,R 1112.64,R 248.15,Generic,A40/2.5/0473
709473001,Fincar,S4,tablet,30.0,R 479.21,R 154.96,Generic,41/21.12/0422
709808001,Maxaderm 1mg/10mg,S4,cream,20.0,R 306.36,R 109.49,Generic,33/13.4.1/0303
709846001,Tavaloxx,S4,tablet,5.0,R 280.37,R 102.34,Generic,41/20.14.1/008
709846002,Tavaloxx 500,S4,tablet,10.0,R 516.51,R 160.45,Generic,41/20.14.1/008
709847001,Tavaloxx,S4,tablet,5.0,R 290.11,R 105.02,Generic,41/20.14.1/009
709848001,Finpecia,S3,tablet,30.0,R 264.02,R 97.84,Generic,41/21.12/0221
709905001,Cipla-warfarin,S4,tablet,100.0,R 274.30,R 100.67,Generic,A38/8.2/0422
709906001,Cipla-Warfarin 1Mg ,S4,tablet,100.0,R 159.02,R 66.90,Generic,41/8.2/0120
710302001,Cipla-perindopril,S3,tablet,30.0,R 274.62,R 100.76,Generic,41/7.1.3/0674
710303001,Lexamil,S5,tablet,30.0,R 169.10,R 70.39,Generic,41/1.2/0395
710304001,Lexamil,S5,tablet,30.0,R 209.28,R 82.78,Generic,41/1.2/0396
710306001,Uromax,S4,Src,30.0,R 283.11,R 103.09,Generic,A40/34/0046
710307001,Foratec hfa 120dose,S4,inhaler,120.0,R 243.56,R 92.21,Generic,A40/10.2.1/0413
710313001,Cipla-indapamide,S3,tablet,30.0,R 48.28,R 28.59,Generic,31/7.1/0097
710374001,Lexamil,S5,tablet,30.0,R 169.10,R 70.39,Generic,41/1.2/0394
710510001,Cipla-perindopril,S3,tablet,30.0,R 274.63,R 100.76,Generic,41/7.1.3/0675
710511001,Cipla-simvastatin,S4,tablet,30.0,R 74.19,R 37.55,Generic,A38/7.5/0370
710513001,Cipla-simvastatin,S4,tablet,30.0,R 188.82,R 77.21,Generic,A38/7.5/0371
711593001,Clopivas,S3,tablet,30.0,R 336.18,R 117.69,Generic,41/8.2/0766
711778001,Lamispor,S4,tablet,14.0,R 504.48,R 158.68,Generic,A40/20.2.2/0614
711876001,Acnetret,S5,capsule,60.0,R 657.17,R 181.14,Generic,38/13.4.2/0265
711877001,Acnetret,S5,capsule,60.0,R 369.91,R 126.97,Generic,38/13.4.2/0267
712390001,Cipla-Warfarin 3Mg,S4,tablet,100.0,R 176.93,R 73.10,Generic,41/8.2/0121
712490001,Ciplatrim 10,S5,capsule,30.0,R 478.96,R 154.92,Generic,41/11.3/0312
712491001,Ciplatrim 15,S5,capsule,30.0,R 542.29,R 164.24,Generic,41/11.3/0313
712889001,Acuzyrt,S2,syrup,150.0,R 220.14,R 85.77,Generic,37/5.7.1/0152
712890001,Acuzyrt Tablets,S2,tablet,10.0,R 55.52,R 31.09,Generic,37/5.7.1/0072
712890002,Acuzyrt Tablets,S2,tablet,30.0,R 130.23,R 56.94,Generic,37/5.7.1/0072
712993001,Cipla duovir & efavirenz co-pack (60 duo,S4,Kit,90.0,R 801.92,R 202.44,Generic,41/20.2.8/0218
713968001,Nexomist 140 metered doses,S2,Aqs,140.0,R 304.94,R 109.10,Generic,A38/21.5.1/0341
714098001,Cipla-abacavir,S4,tablet,60.0,R 1423.68,R 293.12,Generic,41/20.2.8/0692
714099001,Cipla-abacavir,S4,solution,240.0,R 599.29,R 172.63,Generic,41/20.2.8/0857
714287001,Ipvent respules 2ml,S2,vial,60.0,R 257.04,R 95.92,Generic,37/10.2.1/0462
