osm_id,name,type,latitude,longitude,address,city,province
1391310611,,hospital,-28.5306048,30.5869291,,,KwaZulu-Natal
1391310621,,hospital,-28.5512124,30.4312344,,,KwaZulu-Natal
1391310636,,hospital,-28.7227345,30.4431492,,,KwaZulu-Natal
1393230160,,hospital,-30.3798494,29.6519152,,,KwaZulu-Natal
1393309213,,hospital,-30.4420728,30.3207053,,,KwaZulu-Natal
1409573251,Cramond Clinic,clinic,-29.4156383,30.429332,,,KwaZulu-Natal
1412145427,Protea Park Clinic,clinic,-33.5766795,18.4976301,"75, Gardenia Street, Protea Park, 7349",Atlantis,Western Cape
1413284688,,hospital,-26.2535755,30.8526033,,,Mpumalanga
1415248678,Nchabeleng Community Helath Centre,hospital,-24.4400855,29.7992182,,,Limpopo
1418232207,,hospital,-26.4966158,27.838057,,,Gauteng
1419947251,"Queenstown Aids Training, Information and Counselling Centre",clinic,-31.8933854,26.8742801,,,Eastern Cape
1420205159,Herolim Private Hospital,hospital,-31.5835716,28.7975623,"Callaway Street, 5100",Mthatha,Eastern Cape
1420722670,Radie Kotze Hospital,hospital,-32.9060773,18.7627111,,,Western Cape
1420812273,Heidelberg Hospital,hospital,-26.5043109,28.3511678,,,Gauteng
1424755083,Simondium Clinic,clinic,-33.8402169,18.9591572,,,Western Cape
1425968463,,hospital,-33.8261749,23.8646611,,,Unknown
1425968464,Joubertina Community Health Centre,clinic,-33.8262192,23.8645103,,,Unknown
1426405058,Frere Provincial Hospital,hospital,-32.9944245,27.8911106,,,Eastern Cape
1428776382,Madiba Satellite Clinic,clinic,-26.7398254,20.3221416,,,Unknown
1429158658,,clinic,-26.8125709,20.0924918,,,Northern Cape
1432648601,Siphumlile Clinic,clinic,-26.2221544,27.8327032,,,Gauteng
1433560996,Dr J. R. Robinson,doctors,-33.9389295,18.4709579,"60, Herschel Road",Cape Town,Western Cape
1435033194,Mayfair Clinic,clinic,-26.2072601,28.0155755,,,Gauteng
1435033197,,hospital,-26.2072684,28.0155887,,,Gauteng
1442610172,Outeniekwa Child & Youth Care Centre,hospital,-33.9935821,22.47572,,,Unknown
1442806641,,clinic,-26.173836,27.9065266,,,Gauteng
1443459776,,hospital,-24.7814718,27.2887859,,,Limpopo
1444503576,Durbanville Mental Health and Memory Clinic,clinic,-33.8273588,18.6534109,,,Western Cape
1445437459,Unversity Gym,hospital,-25.4348054,30.9805793,,,Mpumalanga
1446272534,,doctors,-33.8332616,18.6524342,"5, Oxford Street, Durbanville, 7550",Cape Town,Western Cape
1446850332,The Newhaven,hospital,-33.8314188,18.6533473,"14, Hafele Road, Durbanville, 7550",Cape Town,Western Cape
1451025904,Durbanville Natural Health Centre,clinic,-33.8336551,18.6416867,"1, High Street",Durbanville,Western Cape
1452744537,Thaba Leshoba Health Centre,hospital,-23.4891955,28.6618319,,,Limpopo
1454353215,Danie de Villiers Surgery,doctors,-33.8802043,18.645417,,,Western Cape
1455929669,Discovery Community Health Centre,hospital,-26.1656043,27.8948569,,,Gauteng
1457014207,Florida Clinic,clinic,-26.1716045,27.912778,,,Gauteng
1457050589,Optima Rustenvrede,clinic,-33.9098134,18.9454786,,,Western Cape
1459895762,,yes,-30.6389351,29.4991636,,,KwaZulu-Natal
1472205999,,clinic,-27.1624579,29.6248734,,,KwaZulu-Natal
1474553714,,hospital,-29.3471237,31.2756325,,,KwaZulu-Natal
1474670742,D.r. M. Tharage,doctors,-22.9736793,30.4631809,,,Limpopo
1474779705,Hermanus Provincial Hospital,hospital,-34.4230842,19.2284047,,,Western Cape
1475145107,Mediclinic Nelspruit Hospital,hospital,-25.4943608,30.9619822,"1, Louise Street",Mbombela,Mpumalanga
1479069589,Moutse East Clinic,clinic,-25.1515397,29.1052226,,,Mpumalanga
1481731495,Umzimkulu Psychiatric Hospital,hospital,-30.2537466,29.924986,,,KwaZulu-Natal
1484723447,Osindisweni Hospital,hospital,-29.6063523,30.9853913,,,KwaZulu-Natal
1485611016,Waterfall Clinic,clinic,-29.7489456,30.8182655,,,KwaZulu-Natal
1487696344,Haarlem Clinic,clinic,-33.7347441,23.3337471,"1, Berg Street, 6467",Haarlem,Unknown
1488480310,Raslouw Sub-Acute Hospital,hospital,-25.8595669,28.1008965,"433, Lochner Road, 0157",Raslouw,Gauteng
1491081233,,clinic,-29.3424164,31.2894135,,,KwaZulu-Natal
1491081234,,clinic,-29.3428217,31.289184,,,KwaZulu-Natal
1491884321,Ali house,hospital,-25.6868065,28.2041321,,,Gauteng
1359678,Cathkin Park Local Authority Clinic,hospital,-29.0285713,29.4362854,,,KwaZulu-Natal
1438985,,hospital,-34.1192423,18.9084511,,,Western Cape
2839608,Mowbray Maternity Hospital,hospital,-33.9494931,18.47436,,,Western Cape
3103077,Milnerton MediClinic,hospital,-33.8654307,18.506124,"Racecourse Road, 7441",Cape Town,Western Cape
3854518,Busamed Hillcrest Private Hospital,hospital,-29.78995,30.7426972,,,KwaZulu-Natal
5307675,St Mary's Hospital,hospital,-29.8488527,30.8251717,"1, Hospital Road, 3610",Pinetown,KwaZulu-Natal
5373088,Karl Bremer Hospital,hospital,-33.8920744,18.6080271,"Mike Pienaar Boulevard, 7530",Bellville,Western Cape
5503852,Michael Mapongwana Community Health Centre,hospital,-34.0518318,18.6704039,Steve Biko Road,"Harare,Khayelitsha",Western Cape
5723673,Town 2 Clinic,clinic,-34.0398359,18.6829966,"1, Charles Mokoena Street, 7784",Khayelitsha,Western Cape
5926715,,hospital,-31.3595181,29.5646804,,,Eastern Cape
7788717,Mosvold District Hosiptal,hospital,-27.1378302,32.0055617,,,KwaZulu-Natal
7953256,,hospital,-28.894883,21.9810732,,,Northern Cape
8344695,Stipp Pharmacy,pharmacy,-34.1505794,19.9132562,"36, Main Road, 7250",Riviersonderend,Western Cape
9585007,Mediclinic Constantiaberg,hospital,-34.026903,18.4619992,,,Western Cape
9821558,Mediclinic Medforum,hospital,-25.7482803,28.199015,Francis Baard Street,Pretoria,Gauteng
10412313,,hospital,-33.954727,18.4874472,,,Western Cape
12535930,,hospital,-26.1504278,27.9199846,,,Gauteng
12544025,Netcare Milpark Hospital,hospital,-26.1801242,28.0179574,,,Gauteng
12634277,Bophelong Provincial Hospital,hospital,-25.8834093,25.6550748,"Lichtenburg Road, 2745",Mahikeng,North West
12669018,,hospital,-26.1517352,27.9197455,,,Gauteng
12717393,Ventersdorp Hospital,hospital,-26.310949,26.8179052,,,North West
12718617,Sannieshof Hospital,hospital,-26.5238589,25.8020565,Hospital Street,,North West
12903306,Mediclinic Gariep,hospital,-28.764728,24.7373551,"112, MacDougall Street, 8300","El Toro Park, Kimberley",Free State
13492477,Kasselsvlei Clinic,clinic,-33.9152017,18.6440606,"Kasselsvlei Road, 7530",Bellville South,Western Cape
13494998,Observatory Forensic Pathology Institute,laboratory,-33.9390131,18.464368,,,Western Cape
13829070,Life Midmed Hospital,hospital,-25.7631946,29.4580391,,,Mpumalanga
13886730,Hermanus Medical Centre,hospital,-34.4239344,19.2272443,"Ravenscroft Street, 7200",Hermanus,Western Cape
