Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
39,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.3,Foodborne Vibrio parahaemolyticus intoxication,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
40,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.4,Foodborne Bacillus cereus intoxication,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
41,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.8,Other specified bacterial foodborne intoxications,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
42,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.9,"Bacterial foodborne intoxication, unspecified",Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
43,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06,Amoebiasis,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
44,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.0,Acute amoebic dysentery,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
45,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.1,Chronic intestinal amoebiasis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
46,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.2,Amoebic nondysenteric colitis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
47,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.3,Amoeboma of intestine,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
48,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.4,Amoebic liver abscess,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
49,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.5,Amoebic lung abscess (J99.8*),Y,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,
50,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.6,Amoebic brain abscess (G07*),Y,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,
51,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.7,Cutaneous amoebiasis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
52,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.8,Amoebic infection of other sites,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
53,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A06,Amoebiasis,A06.9,"Amoebiasis, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
54,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07,Other protozoal intestinal diseases,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
55,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.0,Balantidiasis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
56,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.1,Giardiasis [lambliasis],Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
57,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.2,Cryptosporidiosis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
