Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
16611,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.04,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16612,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.08,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, nontraffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16613,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.09,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, nontraffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16614,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.1,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16615,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.10,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16616,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.11,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16617,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.12,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16618,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.13,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16619,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.14,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16620,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.18,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16621,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.19,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, nontraffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16622,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.2,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16623,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.20,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16624,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.21,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16625,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.22,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16626,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.23,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16627,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.24,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16628,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.28,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16629,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.29,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, nontraffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16630,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.3,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16631,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.30,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16632,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.31,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16633,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.32,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16634,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.33,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16635,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.34,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16636,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.38,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16637,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.39,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, nontraffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16638,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.4,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16639,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.40,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16640,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.41,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16641,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.42,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16642,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.43,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16643,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.44,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16644,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.48,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16645,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.49,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, while boarding or alighting, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16646,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.5,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16647,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.50,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16648,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.51,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16649,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.52,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16650,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16651,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.54,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16652,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.58,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16653,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.59,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver, traffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16654,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.6,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16655,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.60,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16656,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.61,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16657,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.62,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16658,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.63,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16659,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.64,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16660,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.68,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16661,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.69,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger, traffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16662,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.7,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16663,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.70,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16664,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.71,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16665,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.72,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16666,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.73,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16667,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.74,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16668,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.78,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16669,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.79,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, person on outside of vehicle, traffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16670,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.9,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16671,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.90,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16672,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.91,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16673,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.92,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16674,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.93,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16675,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.94,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16676,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.98,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16677,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",V53.99,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, unspecified occupant of pick-up truck or van, traffic accident, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
16678,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),224 (V50-V59),Accidents: Transport accidents: Occupant of pick-up truck or van injured in transport accident,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
